Date,Open,High,Low,Close,Volume
11/11/2022,"18.43","18.74","18.30","18.56","6,341,818"
11/10/2022,"17.40","18.24","17.26","18.13","7,325,274"
11/09/2022,"17.06","17.29","16.77","16.80","8,206,902"
11/08/2022,"17.17","17.44","17.07","17.25","8,266,140"
11/07/2022,"17.41","17.53","16.74","17.17","6,376,461"
11/04/2022,"17.22","17.41","16.74","17.20","10,097,490"
11/03/2022,"18.10","18.16","16.68","16.99","9,950,220"
11/02/2022,"18.71","18.73","17.89","18.00","11,018,090"
11/01/2022,"19.04","19.16","18.84","18.86","7,194,387"
10/31/2022,"18.54","18.97","18.50","18.88","9,077,137"
10/28/2022,"18.55","18.72","18.32","18.65","5,267,328"
10/27/2022,"18.28","18.64","18.27","18.51","8,116,769"
10/26/2022,"18.04","18.34","17.91","18.10","7,067,899"
10/25/2022,"17.68","18.06","17.43","18.00","13,158,300"
10/24/2022,"17.88","18.05","17.71","17.84","5,309,570"
10/21/2022,"17.29","17.92","17.21","17.84","8,523,309"
10/20/2022,"17.62","17.87","17.19","17.24","6,914,792"
10/19/2022,"17.55","17.80","17.45","17.53","6,076,145"
10/18/2022,"17.70","17.91","17.57","17.65","7,825,292"
10/17/2022,"17.38","17.53","17.21","17.38","6,023,607"
10/14/2022,"17.07","17.28","16.72","16.81","8,822,697"
10/13/2022,"16.32","16.86","16.14","16.83","11,370,780"
10/12/2022,"16.52","16.93","16.31","16.62","10,394,440"
10/11/2022,"16.49","16.73","16.16","16.53","7,922,943"
10/10/2022,"16.44","16.74","16.27","16.34","9,758,900"
10/07/2022,"16.42","16.55","16.16","16.30","8,135,096"
10/06/2022,"16.65","16.97","16.48","16.56","6,926,092"
10/05/2022,"16.52","16.76","16.13","16.73","7,145,184"
10/04/2022,"16.57","16.88","16.54","16.85","9,941,638"
10/03/2022,"15.99","16.53","15.67","16.37","9,436,760"
09/30/2022,"15.63","16.08","15.63","15.88","9,355,532"
09/29/2022,"16.22","16.23","15.56","15.79","10,457,090"
09/28/2022,"15.84","16.60","15.62","16.55","15,484,220"
09/27/2022,"15.75","16.06","15.59","15.76","9,722,652"
09/26/2022,"15.50","15.97","15.45","15.52","7,454,623"
09/23/2022,"15.95","15.95","15.37","15.82","8,892,943"
09/22/2022,"16.83","16.91","16.05","16.19","8,216,542"
09/21/2022,"17.85","17.88","16.78","16.80","11,326,860"
09/20/2022,"17.56","17.78","17.34","17.70","6,547,351"
09/19/2022,"17.55","18.20","17.50","17.82","8,058,770"
09/16/2022,"18.06","18.06","17.43","17.77","11,394,990"
09/15/2022,"18.29","18.49","18.07","18.13","6,577,846"
09/14/2022,"17.89","18.33","17.69","18.32","12,809,370"
09/13/2022,"17.95","18.12","17.75","17.88","7,235,818"
09/12/2022,"18.23","18.53","18.23","18.49","4,592,308"
09/09/2022,"17.84","18.34","17.74","18.24","13,033,000"
09/08/2022,"17.42","17.80","17.27","17.67","8,012,631"
09/07/2022,"17.10","17.68","16.94","17.64","10,870,620"
09/06/2022,"17.37","17.61","16.76","17.00","7,471,929"
09/02/2022,"17.65","17.74","17.19","17.26","7,678,235"
09/01/2022,"17.36","17.71","17.03","17.37","11,186,690"
08/31/2022,"18.02","18.09","17.74","17.77","6,923,065"
08/30/2022,"17.89","18.15","17.83","17.87","5,084,198"
08/29/2022,"18.27","18.27","17.88","17.97","7,259,368"
08/26/2022,"19.13","19.18","18.22","18.24","5,548,412"
08/25/2022,"18.78","19.22","18.77","19.13","5,347,296"
08/24/2022,"18.55","18.73","18.43","18.70","3,327,229"
08/23/2022,"18.46","18.67","18.36","18.46","6,629,280"
08/22/2022,"18.46","18.64","18.34","18.40","4,796,860"
08/19/2022,"19.29","19.38","18.71","18.78","6,063,743"
08/18/2022,"19.38","19.76","19.37","19.55","7,076,532"
08/17/2022,"19.32","19.47","19.15","19.35","7,722,435"
08/16/2022,"19.15","19.60","19.10","19.52","10,965,060"
08/15/2022,"19.36","19.44","19.18","19.19","4,561,881"
