Date,Open,High,Low,Close,Volume
11/11/2022,"160.00","164.89","159.83","163.78","2,634,540"
11/10/2022,"155.81","158.56","155.80","157.98","2,421,929"
11/09/2022,"148.28","153.16","148.08","149.57","2,136,462"
11/08/2022,"149.07","152.72","148.45","150.50","1,760,334"
11/07/2022,"149.54","150.04","145.00","148.35","2,039,645"
11/04/2022,"149.44","151.28","147.34","148.96","3,342,959"
11/03/2022,"149.79","150.81","143.92","146.48","2,929,797"
11/02/2022,"158.96","159.26","152.30","152.99","2,596,944"
11/01/2022,"162.42","163.00","159.22","160.07","1,573,557"
10/31/2022,"158.75","162.54","158.14","160.11","2,492,983"
10/28/2022,"156.25","160.01","155.29","159.65","1,796,967"
10/27/2022,"156.79","158.47","156.00","156.25","1,624,726"
10/26/2022,"156.67","158.82","154.15","155.04","2,464,610"
10/25/2022,"154.36","156.11","153.11","155.43","1,697,073"
10/24/2022,"154.27","156.47","152.41","154.98","1,967,933"
10/21/2022,"146.71","154.01","146.50","153.49","2,339,520"
10/20/2022,"150.57","153.17","147.17","147.52","1,408,199"
10/19/2022,"148.64","151.67","148.64","149.99","1,173,848"
10/18/2022,"151.48","153.88","148.58","149.99","1,871,064"
10/17/2022,"146.99","148.43","145.84","147.85","2,060,027"
10/14/2022,"146.01","147.84","142.52","143.53","2,076,119"
10/13/2022,"138.76","144.11","137.26","143.22","2,398,525"
10/12/2022,"138.50","143.25","137.29","141.87","1,855,585"
10/11/2022,"140.84","141.56","137.25","138.79","1,873,949"
10/10/2022,"142.12","143.41","139.47","140.50","1,509,102"
10/07/2022,"141.93","142.17","139.31","141.50","2,409,116"
10/06/2022,"146.77","148.27","143.60","144.07","1,653,332"
10/05/2022,"145.30","148.21","144.82","147.18","1,488,986"
10/04/2022,"144.39","148.72","143.40","147.56","2,128,578"
10/03/2022,"142.09","142.66","138.71","140.80","2,107,014"
09/30/2022,"139.90","143.98","138.27","140.14","2,100,902"
09/29/2022,"141.98","142.32","138.98","140.51","1,870,989"
09/28/2022,"139.06","144.56","138.51","143.82","2,085,080"
09/27/2022,"139.40","141.11","136.89","138.68","2,251,293"
09/26/2022,"137.78","140.21","136.02","136.22","1,946,866"
09/23/2022,"138.15","138.32","135.90","137.48","2,414,647"
09/22/2022,"147.03","147.46","139.66","140.11","3,542,469"
09/21/2022,"156.31","156.50","148.15","148.17","3,281,218"
09/20/2022,"156.72","158.41","154.84","157.01","2,102,928"
09/19/2022,"152.95","158.22","152.66","157.36","1,972,724"
09/16/2022,"160.32","160.32","153.28","154.92","3,370,094"
09/15/2022,"163.44","166.55","161.73","162.51","1,862,684"
09/14/2022,"158.00","162.68","156.65","162.54","1,789,987"
09/13/2022,"158.99","161.75","157.04","157.88","2,260,998"
09/12/2022,"163.95","165.00","162.80","163.78","1,602,109"
09/09/2022,"160.39","162.77","160.20","162.36","1,392,597"
09/08/2022,"156.38","159.45","155.52","159.40","1,690,789"
09/07/2022,"152.70","157.94","152.30","157.60","2,240,870"
09/06/2022,"155.21","156.25","150.50","152.37","1,680,874"
09/02/2022,"155.00","157.69","153.43","154.23","1,855,031"
09/01/2022,"152.43","154.17","149.90","153.95","2,297,028"
08/31/2022,"154.25","155.91","153.34","153.74","2,241,895"
08/30/2022,"156.72","157.29","153.00","153.34","1,987,559"
08/29/2022,"154.98","156.79","154.46","155.72","1,555,541"
08/26/2022,"163.07","163.86","156.25","156.69","1,747,946"
08/25/2022,"161.27","163.24","160.65","162.67","1,274,210"
08/24/2022,"157.80","160.53","157.80","159.93","1,892,354"
08/23/2022,"158.36","160.56","158.35","158.64","1,423,884"
08/22/2022,"158.26","159.72","157.47","157.92","1,417,908"
08/19/2022,"163.43","164.25","160.89","161.38","1,401,917"
08/18/2022,"163.67","165.49","163.03","165.05","1,093,220"
08/17/2022,"163.99","164.72","161.88","163.57","1,452,119"
08/16/2022,"162.79","166.56","162.48","166.24","1,869,729"
08/15/2022,"162.12","164.40","161.70","163.18","1,305,098"
08/12/2022,"162.00","164.36","160.89","164.07","1,610,288"
08/11/2022,"163.54","164.34","160.70","161.13","1,324,353"
08/10/2022,"161.82","162.80","160.29","161.24","1,480,640"
08/09/2022,"158.07","159.57","156.67","158.79","1,499,520"
08/08/2022,"157.57","161.18","157.39","158.27","1,445,225"
08/05/2022,"157.73","159.19","155.93","157.01","2,146,103"
08/04/2022,"159.43","159.78","157.18","158.99","1,337,614"
08/03/2022,"159.30","161.07","158.61","159.34","1,791,261"
08/02/2022,"162.20","162.22","155.58","158.24","3,113,990"
08/01/2022,"158.00","160.02","156.39","159.57","2,051,039"
07/29/2022,"157.52","159.83","156.63","158.82","1,936,997"
07/28/2022,"158.13","159.61","154.86","158.09","1,708,600"
07/27/2022,"155.08","159.24","154.84","157.60","2,660,068"
07/26/2022,"152.09","152.80","150.56","151.04","2,032,499"
07/25/2022,"152.81","153.40","150.20","152.99","1,543,426"
07/22/2022,"152.51","154.74","150.29","150.91","2,259,718"
07/21/2022,"151.00","151.89","147.76","151.00","1,777,393"
07/20/2022,"150.77","153.52","150.00","152.60","1,932,187"
07/19/2022,"146.09","151.26","145.94","150.92","2,531,118"
07/18/2022,"145.19","149.02","143.69","144.59","2,028,528"
07/15/2022,"142.61","144.44","141.65","143.35","2,072,306"
07/14/2022,"137.96","141.26","137.95","140.78","2,398,105"
07/13/2022,"136.27","142.11","135.70","140.80","2,337,111"
07/12/2022,"136.93","141.25","136.93","139.12","1,691,720"
07/11/2022,"137.10","138.52","135.15","137.76","2,161,695"
07/08/2022,"138.68","138.83","135.56","137.80","1,631,468"
07/07/2022,"137.47","139.81","136.97","138.68","2,017,207"
07/06/2022,"138.95","139.71","133.54","135.65","1,880,513"
07/05/2022,"135.92","138.75","133.99","138.69","2,367,125"
07/01/2022,"135.74","139.25","134.62","139.18","2,039,948"
06/30/2022,"135.12","138.14","133.07","136.01","3,379,238"
06/29/2022,"138.69","139.62","135.72","137.73","2,621,595"
06/28/2022,"142.73","146.06","138.51","138.69","2,241,569"
06/27/2022,"139.60","141.09","138.34","140.19","2,056,474"
06/24/2022,"135.00","141.07","133.27","139.39","3,076,109"
06/23/2022,"137.67","137.70","131.01","133.06","3,285,920"
06/22/2022,"139.44","141.58","135.99","136.46","4,112,937"
06/21/2022,"147.83","147.99","141.17","141.58","3,357,092"
06/17/2022,"145.84","147.64","142.80","145.23","3,277,730"
06/16/2022,"149.85","150.80","144.59","145.16","2,610,864"
06/15/2022,"154.76","157.16","153.12","154.80","2,051,178"
06/14/2022,"153.86","154.73","150.28","152.22","2,667,331"
06/13/2022,"154.00","154.57","149.87","152.10","4,029,935"
06/10/2022,"165.03","167.02","159.76","159.87","2,736,867"
06/09/2022,"173.08","173.08","167.64","167.65","1,449,532"
06/08/2022,"175.27","175.68","171.77","173.19","1,693,578"
06/07/2022,"175.77","177.83","173.67","177.18","1,336,439"
06/06/2022,"177.00","179.24","175.30","177.61","1,394,792"
06/03/2022,"172.79","175.40","171.85","174.65","1,370,333"
06/02/2022,"170.75","174.58","170.38","174.42","1,749,952"
06/01/2022,"172.54","174.00","167.86","170.59","1,729,678"
05/31/2022,"171.05","172.89","168.33","171.58","2,225,038"
05/27/2022,"170.45","177.00","170.45","172.56","2,387,184"
05/26/2022,"160.35","171.69","160.35","170.17","3,693,136"
05/25/2022,"151.39","160.35","150.77","159.55","3,079,793"
05/24/2022,"155.68","156.69","149.76","152.64","2,303,637"
05/23/2022,"156.47","159.16","153.32","157.96","1,832,336"
05/20/2022,"159.42","159.63","151.43","155.23","2,105,866"
05/19/2022,"153.29","159.59","152.25","156.94","2,228,075"
05/18/2022,"162.73","164.38","153.01","154.02","3,748,404"
05/17/2022,"166.33","167.32","162.50","164.86","2,302,548"
05/16/2022,"165.70","166.39","161.40","162.33","2,367,894"
05/13/2022,"166.00","167.48","163.75","166.40","2,772,442"
05/12/2022,"165.47","167.31","159.96","163.34","2,619,605"
05/11/2022,"167.62","172.49","165.79","166.96","2,973,825"
05/10/2022,"168.06","170.24","164.93","168.09","2,594,670"
05/09/2022,"170.98","170.98","162.10","163.85","4,058,540"
05/06/2022,"178.18","178.54","169.28","172.52","2,764,177"
05/05/2022,"179.69","183.51","175.18","177.66","3,174,391"
05/04/2022,"176.00","181.57","172.32","181.24","4,283,883"
05/03/2022,"178.65","178.69","170.79","173.04","4,135,837"
05/02/2022,"178.95","180.32","173.28","178.14","2,589,988"
04/29/2022,"182.97","185.13","176.96","177.52","2,605,463"
04/28/2022,"181.72","186.17","180.07","184.56","2,337,835"
04/27/2022,"177.93","181.83","175.91","180.20","1,808,884"
04/26/2022,"181.00","183.18","176.82","177.25","2,085,142"
04/25/2022,"178.87","182.69","177.01","182.48","2,368,338"
04/22/2022,"183.76","184.17","178.94","179.49","1,872,901"
04/21/2022,"193.54","195.90","183.70","184.17","2,905,571"
04/20/2022,"189.00","193.79","188.78","190.30","3,500,765"
04/19/2022,"182.28","189.55","182.05","188.78","2,775,237"
04/18/2022,"179.23","184.95","179.23","183.15","2,961,141"
04/14/2022,"176.20","181.52","176.20","180.51","3,631,673"
04/13/2022,"164.16","176.25","164.01","175.54","3,343,813"
04/12/2022,"164.63","165.96","162.28","163.24","1,549,813"
04/11/2022,"161.96","165.56","161.66","162.45","1,402,520"
04/08/2022,"163.61","165.31","162.40","163.86","1,522,384"
04/07/2022,"165.58","166.62","162.36","164.66","2,608,678"
04/06/2022,"171.76","171.76","165.62","166.17","2,180,145"
04/05/2022,"174.41","176.61","172.00","174.00","1,545,257"
04/04/2022,"173.37","175.04","171.62","174.65","1,394,902"
04/01/2022,"176.92","178.38","172.61","173.68","1,900,406"
03/31/2022,"177.19","179.30","175.72","175.75","2,368,859"
03/30/2022,"177.54","179.12","175.40","176.45","2,285,208"
03/29/2022,"174.24","178.97","174.10","178.32","2,201,137"
03/28/2022,"172.10","172.57","169.14","171.56","1,215,627"
03/25/2022,"172.00","173.69","170.75","171.52","1,428,091"
03/24/2022,"169.00","171.99","167.20","171.98","1,795,794"
03/23/2022,"169.41","170.98","167.20","167.65","2,709,050"
03/22/2022,"171.67","172.88","169.98","170.57","2,004,139"
03/21/2022,"169.95","170.22","167.85","169.95","1,770,436"
03/18/2022,"170.26","173.44","167.65","171.19","3,542,392"
03/17/2022,"170.33","171.25","168.13","171.24","1,582,325"
03/16/2022,"168.19","172.50","167.03","172.29","2,300,310"
03/15/2022,"163.93","167.33","163.65","166.40","2,297,297"
03/14/2022,"162.27","164.13","160.11","161.76","1,917,647"
03/11/2022,"164.35","165.53","161.30","161.64","2,316,271"
03/10/2022,"156.55","164.22","156.05","162.56","2,573,293"
03/09/2022,"158.20","162.56","157.74","159.47","3,509,843"
03/08/2022,"148.92","159.11","146.07","152.79","4,939,350"
03/07/2022,"159.22","159.22","147.93","148.06","3,769,069"
03/04/2022,"163.00","163.93","156.76","159.28","2,858,565"
03/03/2022,"169.74","171.53","164.45","165.47","2,444,926"
03/02/2022,"167.58","171.01","166.91","168.23","2,159,787"
03/01/2022,"168.70","170.01","163.88","164.91","2,886,118"
02/28/2022,"170.39","172.49","167.53","170.14","2,574,380"
02/25/2022,"170.53","174.60","168.43","174.37","2,805,882"
02/24/2022,"163.06","169.55","162.95","168.75","4,332,662"
02/23/2022,"174.14","174.55","167.37","167.97","3,494,821"
02/22/2022,"174.62","175.82","169.81","173.12","2,744,041"
02/18/2022,"177.58","179.54","174.72","174.92","2,882,441"
02/17/2022,"180.17","181.78","177.71","178.17","3,356,259"
02/16/2022,"178.31","184.99","178.00","183.26","3,263,847"
02/15/2022,"175.90","181.34","174.54","181.20","4,264,781"
02/14/2022,"170.55","174.40","169.42","171.33","2,675,152"
02/11/2022,"175.16","177.23","168.68","169.88","2,819,319"
02/10/2022,"170.89","176.48","170.01","174.68","2,122,073"
02/09/2022,"172.56","176.52","172.03","173.53","2,100,280"
02/08/2022,"167.06","172.04","165.30","171.55","2,553,003"
02/07/2022,"163.12","167.24","162.75","166.04","2,003,352"
02/04/2022,"161.01","163.71","158.92","162.74","2,204,708"
02/03/2022,"160.00","164.49","160.00","162.01","2,920,099"
02/02/2022,"163.34","163.64","160.11","160.87","3,912,465"
02/01/2022,"161.12","163.68","160.33","163.02","1,755,064"
01/31/2022,"158.54","161.29","157.24","161.12","1,972,161"
01/28/2022,"154.00","159.51","152.75","159.38","1,930,432"
01/27/2022,"159.63","160.86","152.13","153.71","2,184,969"
01/26/2022,"158.04","164.00","156.69","158.73","2,345,804"
01/25/2022,"153.95","158.25","150.35","157.03","2,197,205"
01/24/2022,"154.00","156.50","150.93","155.74","3,537,843"
01/21/2022,"156.70","160.20","154.50","156.99","4,745,703"
01/20/2022,"155.55","161.69","155.37","156.70","2,160,377"
01/19/2022,"159.93","159.98","154.11","154.20","2,396,501"
01/18/2022,"160.12","161.11","157.68","159.51","2,087,795"
01/14/2022,"163.89","164.42","159.72","162.80","1,886,383"
01/13/2022,"164.94","167.30","164.10","164.51","1,619,741"
01/12/2022,"166.35","166.87","162.66","164.86","1,606,565"
01/11/2022,"161.97","165.65","160.07","165.20","2,141,150"
01/10/2022,"167.25","167.88","160.13","162.05","2,228,632"
01/07/2022,"166.00","168.75","164.69","166.66","1,508,821"
01/06/2022,"165.30","166.46","164.23","165.22","1,421,790"
01/05/2022,"168.27","169.00","164.33","164.37","1,656,732"
01/04/2022,"166.77","171.16","165.80","168.01","2,131,595"
01/03/2022,"165.07","166.41","161.23","163.91","1,836,948"
