Date,Open,High,Low,Close,Volume
11/11/2022,"138.50","142.42","137.76","140.63","2,808,267"
11/10/2022,"135.09","137.29","135.09","136.62","1,803,104"
11/09/2022,"129.23","132.21","128.94","129.89","1,894,806"
11/08/2022,"129.42","132.43","128.90","130.83","1,641,453"
11/07/2022,"130.14","130.76","126.39","128.87","3,027,955"
11/04/2022,"131.39","133.89","128.99","130.01","3,185,746"
11/03/2022,"128.03","129.87","126.28","128.50","2,162,446"
11/02/2022,"133.00","134.44","129.63","129.73","1,926,608"
11/01/2022,"136.65","137.49","133.61","133.74","1,785,976"
10/31/2022,"134.77","138.00","134.27","135.26","2,701,778"
10/28/2022,"133.62","135.29","131.72","134.64","1,671,817"
10/27/2022,"131.15","134.61","131.15","133.40","2,598,226"
10/26/2022,"131.58","134.89","127.71","129.99","3,590,667"
10/25/2022,"130.51","132.41","129.13","130.64","2,648,522"
10/24/2022,"131.94","133.65","128.96","130.63","2,639,679"
10/21/2022,"126.59","132.12","126.13","131.23","2,223,068"
10/20/2022,"129.24","131.43","126.20","126.55","1,867,133"
10/19/2022,"127.80","130.44","127.30","128.70","1,409,353"
10/18/2022,"130.00","131.65","127.42","128.60","1,649,690"
10/17/2022,"124.70","127.48","124.68","126.41","1,648,600"
10/14/2022,"125.30","126.83","122.22","122.58","1,410,135"
10/13/2022,"118.32","123.60","117.25","123.10","1,813,077"
10/12/2022,"117.31","122.02","116.63","121.00","1,638,649"
10/11/2022,"120.66","120.96","116.59","117.88","1,783,609"
10/10/2022,"122.03","122.84","118.82","120.33","1,350,246"
10/07/2022,"121.45","121.97","119.20","121.37","1,587,637"
10/06/2022,"125.55","126.89","122.95","123.35","1,448,759"
10/05/2022,"124.22","126.44","123.31","125.92","1,651,897"
10/04/2022,"124.02","127.54","124.02","125.97","1,573,376"
10/03/2022,"123.32","123.32","119.54","121.77","2,054,886"
09/30/2022,"120.53","123.72","120.02","120.62","1,834,753"
09/29/2022,"121.69","123.09","119.91","121.86","1,783,227"
09/28/2022,"118.53","124.35","117.94","123.67","1,948,813"
09/27/2022,"120.16","120.94","116.89","118.17","2,605,906"
09/26/2022,"118.83","119.90","116.90","117.48","1,984,254"
09/23/2022,"118.03","118.78","116.39","118.33","4,408,268"
09/22/2022,"124.63","124.63","118.43","119.42","3,680,027"
09/21/2022,"131.58","131.60","124.63","124.63","2,326,074"
09/20/2022,"131.59","133.29","130.25","131.68","1,349,671"
09/19/2022,"128.88","132.95","128.80","132.30","1,503,794"
09/16/2022,"134.02","134.02","129.16","130.80","3,409,711"
09/15/2022,"135.58","137.97","134.69","135.24","2,251,393"
09/14/2022,"131.09","134.95","129.38","134.83","1,820,511"
09/13/2022,"132.56","133.96","129.82","130.46","2,134,036"
09/12/2022,"137.37","137.97","136.04","136.65","1,235,336"
09/09/2022,"134.14","136.73","133.71","135.91","1,993,185"
09/08/2022,"129.79","133.02","129.00","132.97","2,323,028"
09/07/2022,"127.05","131.50","127.05","131.18","1,364,590"
09/06/2022,"127.84","129.25","125.00","126.87","1,594,703"
09/02/2022,"129.78","130.49","126.91","127.49","1,398,112"
09/01/2022,"126.01","127.79","124.04","127.67","1,670,852"
08/31/2022,"127.14","129.37","126.77","127.36","2,305,641"
08/30/2022,"130.36","131.33","126.47","126.83","2,416,421"
08/29/2022,"129.78","131.06","129.07","129.47","1,458,469"
08/26/2022,"136.02","136.59","131.02","131.09","1,232,688"
08/25/2022,"134.33","136.20","134.15","136.08","1,046,402"
08/24/2022,"132.04","134.30","132.04","133.30","1,030,282"
08/23/2022,"132.27","133.98","132.08","132.28","1,242,093"
08/22/2022,"132.20","133.82","131.23","131.58","1,472,883"
08/19/2022,"136.76","137.66","135.17","135.48","1,718,597"
