Date,Open,High,Low,Close,Volume
11/11/2022,"42.35","43.87","41.91","43.32","10,637,480"
11/10/2022,"41.28","42.38","40.54","41.05","5,940,494"
11/09/2022,"40.04","40.34","39.70","39.95","3,721,983"
11/08/2022,"40.72","41.06","40.20","40.66","3,951,307"
11/07/2022,"40.22","41.29","39.41","40.70","5,382,896"
11/04/2022,"40.16","40.75","39.00","40.24","8,740,285"
11/03/2022,"37.58","38.70","37.03","37.85","3,869,589"
11/02/2022,"37.98","39.57","37.98","38.18","6,750,515"
11/01/2022,"39.27","39.75","38.61","38.64","7,671,149"
10/31/2022,"37.91","38.90","36.79","38.01","9,699,459"
10/28/2022,"34.83","37.10","34.73","37.09","7,352,386"
10/27/2022,"35.70","36.08","34.98","35.05","5,282,823"
10/26/2022,"34.77","35.76","34.30","35.47","8,434,570"
10/25/2022,"35.23","36.40","34.25","34.77","10,269,710"
10/24/2022,"36.90","37.27","33.38","35.05","15,856,120"
10/21/2022,"37.93","39.28","37.52","39.07","7,303,666"
10/20/2022,"36.54","38.78","36.10","37.59","12,357,990"
10/19/2022,"34.72","36.19","34.70","35.60","9,687,774"
10/18/2022,"36.55","37.13","35.75","35.85","6,210,491"
10/17/2022,"35.83","36.31","35.18","35.69","6,330,897"
10/14/2022,"36.04","36.51","34.66","35.22","6,742,443"
10/13/2022,"35.39","37.25","34.85","35.75","8,378,025"
10/12/2022,"36.01","36.89","35.49","36.50","6,901,999"
10/11/2022,"38.93","39.00","35.64","36.36","13,057,260"
10/10/2022,"41.32","41.49","38.26","39.29","11,700,180"
10/07/2022,"42.76","42.82","41.62","42.50","6,788,132"
10/06/2022,"42.50","43.46","42.49","43.07","7,507,398"
10/05/2022,"41.89","42.99","41.29","42.62","9,479,227"
10/04/2022,"39.25","42.05","39.19","42.00","10,742,110"
10/03/2022,"37.85","38.90","37.22","38.60","5,905,627"
09/30/2022,"37.81","38.36","37.40","37.52","7,166,462"
09/29/2022,"39.00","39.31","37.90","38.53","6,596,808"
09/28/2022,"39.61","39.93","39.02","39.71","6,478,867"
09/27/2022,"40.49","40.55","38.89","39.72","11,499,950"
09/26/2022,"38.87","40.50","38.37","39.66","25,186,590"
09/23/2022,"34.75","35.51","34.47","35.47","8,097,232"
09/22/2022,"36.58","37.40","34.94","35.29","7,215,628"
09/21/2022,"38.92","39.09","36.62","36.62","8,359,330"
09/20/2022,"40.33","41.10","38.95","39.28","15,503,060"
09/19/2022,"38.15","39.44","38.15","38.82","4,951,029"
09/16/2022,"38.37","39.09","37.74","38.64","9,282,050"
09/15/2022,"38.10","40.33","37.96","39.69","8,544,755"
09/14/2022,"37.65","38.19","36.44","38.15","4,196,790"
09/13/2022,"37.50","38.70","37.38","37.84","4,871,956"
09/12/2022,"38.56","39.29","38.41","38.75","4,624,601"
09/09/2022,"37.99","38.36","37.79","38.17","2,938,221"
09/08/2022,"35.78","37.67","35.54","37.65","3,207,032"
09/07/2022,"35.28","36.52","35.26","36.40","3,593,003"
09/06/2022,"36.35","36.36","35.01","35.45","6,543,069"
09/02/2022,"37.11","37.18","36.13","36.21","3,208,208"
09/01/2022,"37.18","37.18","35.83","36.70","3,792,792"
08/31/2022,"37.10","38.19","36.77","37.63","4,412,474"
08/30/2022,"38.25","38.47","36.30","36.65","6,389,516"
08/29/2022,"37.50","38.28","37.27","37.89","2,902,235"
08/26/2022,"39.43","39.81","37.91","37.93","3,155,274"
08/25/2022,"38.47","39.56","38.38","39.07","3,694,446"
08/24/2022,"36.87","38.31","36.43","37.87","3,908,905"
08/23/2022,"36.64","37.52","36.56","36.88","2,469,464"
08/22/2022,"36.65","36.79","36.27","36.60","3,621,573"
08/19/2022,"37.27","37.84","37.16","37.63","2,800,500"
08/18/2022,"37.40","37.73","36.81","37.72","3,499,117"
08/17/2022,"37.62","37.99","37.27","37.45","3,509,158"
08/16/2022,"38.43","38.59","37.95","38.28","3,067,319"
08/15/2022,"38.22","39.10","38.20","38.69","2,748,667"
08/12/2022,"37.33","38.69","37.33","38.67","3,481,888"
08/11/2022,"37.37","38.90","37.20","37.69","3,957,103"
08/10/2022,"37.56","37.65","36.20","36.65","5,281,562"
08/09/2022,"37.00","37.00","35.93","36.90","4,312,405"
08/08/2022,"38.67","39.15","37.17","37.19","5,937,505"
08/05/2022,"38.80","39.15","38.16","38.37","4,099,923"
08/04/2022,"39.15","39.80","39.07","39.30","4,592,329"
08/03/2022,"38.53","39.26","38.48","38.96","4,809,011"
08/02/2022,"37.27","38.73","37.13","38.15","4,506,308"
08/01/2022,"37.31","38.23","36.73","37.77","5,263,210"
07/29/2022,"38.22","38.22","37.06","37.69","5,269,147"
07/28/2022,"39.00","39.13","37.88","38.52","4,267,950"
07/27/2022,"38.69","39.17","38.19","38.97","5,018,830"
07/26/2022,"38.80","38.80","38.19","38.22","4,129,395"
07/25/2022,"39.00","39.34","38.40","38.85","4,721,792"
07/22/2022,"39.41","39.65","38.66","38.99","5,934,052"
07/21/2022,"37.74","39.98","37.56","39.52","14,812,610"
07/20/2022,"36.11","37.18","35.99","37.08","10,306,570"
07/19/2022,"35.06","35.63","34.90","35.53","6,250,728"
07/18/2022,"34.92","35.53","34.59","34.65","8,601,754"
07/15/2022,"34.71","35.26","33.80","34.53","7,427,084"
07/14/2022,"32.69","34.46","32.57","34.25","7,293,443"
07/13/2022,"32.86","33.63","32.52","33.23","4,749,368"
07/12/2022,"32.04","33.27","31.92","33.25","6,787,604"
07/11/2022,"32.81","33.07","30.93","32.21","15,853,880"
07/08/2022,"35.20","35.25","34.20","34.38","5,437,409"
07/07/2022,"35.10","35.97","34.70","35.33","5,976,462"
07/06/2022,"34.49","35.07","34.32","34.70","7,778,971"
07/05/2022,"34.25","34.82","33.89","34.76","6,109,445"
07/01/2022,"33.75","35.38","33.53","35.28","6,397,838"
06/30/2022,"32.97","34.43","31.97","33.59","9,917,837"
06/29/2022,"34.15","34.37","33.14","33.61","7,076,661"
06/28/2022,"35.78","36.31","34.48","34.51","12,816,240"
06/27/2022,"33.56","33.91","32.76","33.17","4,880,006"
06/24/2022,"32.21","33.55","32.09","33.43","14,518,430"
06/23/2022,"31.95","32.10","30.46","31.58","6,337,844"
06/22/2022,"31.07","32.08","30.97","31.60","5,706,863"
06/21/2022,"32.31","32.57","31.61","31.71","5,608,537"
06/17/2022,"31.56","32.09","30.57","31.67","8,175,424"
06/16/2022,"31.92","31.92","30.57","30.87","8,529,407"
06/15/2022,"32.55","33.34","32.07","32.64","7,189,465"
06/14/2022,"30.77","32.60","30.77","32.27","8,683,427"
06/13/2022,"31.83","32.32","30.14","30.60","11,068,060"
06/10/2022,"34.44","35.03","33.32","33.50","7,558,727"
06/09/2022,"36.66","36.68","35.18","35.29","6,252,627"
06/08/2022,"35.75","37.61","35.57","37.39","8,323,677"
06/07/2022,"34.86","35.89","34.72","35.83","4,383,349"
06/06/2022,"36.01","37.30","35.24","35.50","7,184,524"
06/03/2022,"35.12","35.62","34.61","34.96","4,499,650"
06/02/2022,"35.06","35.84","34.96","35.53","4,983,696"
06/01/2022,"35.73","36.50","34.45","35.16","6,063,508"
05/31/2022,"36.30","36.43","35.14","35.46","10,304,080"
05/27/2022,"34.28","34.85","34.22","34.62","5,263,204"
05/26/2022,"32.34","34.49","32.12","34.17","4,464,760"
05/25/2022,"30.72","32.34","30.72","32.07","5,293,384"
05/24/2022,"32.56","32.70","30.58","30.98","5,861,481"
05/23/2022,"33.84","33.84","32.57","32.99","5,087,025"
05/20/2022,"33.82","34.08","32.42","33.46","6,278,568"
05/19/2022,"33.27","34.34","33.10","33.26","6,185,512"
05/18/2022,"34.16","34.63","33.12","33.82","5,076,965"
05/17/2022,"34.50","34.95","33.95","34.69","6,604,426"
05/16/2022,"33.92","35.23","33.28","33.37","7,313,923"
05/13/2022,"31.61","34.88","31.55","34.68","13,376,900"
05/12/2022,"29.80","30.69","28.88","30.14","10,220,020"
05/11/2022,"31.35","32.40","30.19","30.33","8,767,925"
05/10/2022,"32.82","33.12","30.66","31.20","9,230,013"
05/09/2022,"33.30","33.94","31.64","31.86","7,958,222"
05/06/2022,"35.33","35.45","33.73","34.29","8,165,138"
05/05/2022,"36.39","36.58","34.97","35.55","5,720,374"
05/04/2022,"36.72","37.18","35.31","37.06","6,527,215"
05/03/2022,"36.87","37.45","35.89","36.43","5,822,862"
05/02/2022,"35.54","36.96","34.94","36.69","7,906,156"
04/29/2022,"36.31","37.51","35.37","35.43","6,083,862"
04/28/2022,"34.46","36.16","33.51","35.68","7,660,981"
04/27/2022,"34.75","35.88","34.08","34.84","5,688,578"
04/26/2022,"36.01","36.01","34.27","34.75","6,022,002"
04/25/2022,"35.41","36.39","34.92","36.29","5,652,169"
04/22/2022,"37.96","38.10","36.36","36.40","9,637,239"
04/21/2022,"38.97","39.55","37.12","37.21","5,714,715"
04/20/2022,"38.34","39.27","38.21","38.51","5,317,991"
04/19/2022,"36.99","38.71","36.95","38.24","6,994,077"
