Date,Open,High,Low,Close,Volume
11/11/2022,"35.98","37.07","35.66","36.63","5,019,025"
11/10/2022,"35.23","36.09","35.00","35.31","5,206,617"
11/09/2022,"33.82","34.61","33.52","33.56","5,567,084"
11/08/2022,"34.42","34.69","33.85","34.49","5,694,170"
11/07/2022,"34.00","34.33","32.92","34.19","6,168,627"
11/04/2022,"32.31","33.84","32.22","33.84","8,346,405"
11/03/2022,"33.05","33.30","31.40","31.41","14,339,190"
11/02/2022,"35.86","36.97","34.94","35.11","7,759,522"
11/01/2022,"36.52","36.65","35.61","35.94","5,411,733"
10/31/2022,"36.22","36.59","35.49","35.57","6,394,548"
10/28/2022,"34.53","35.98","34.45","35.96","5,112,438"
10/27/2022,"34.75","35.39","34.41","34.50","3,780,934"
10/26/2022,"34.24","35.13","34.15","34.33","3,168,779"
10/25/2022,"34.02","34.98","33.83","34.19","5,381,720"
10/24/2022,"33.39","34.17","33.02","33.97","4,887,606"
10/21/2022,"32.51","33.99","32.31","33.92","6,252,577"
10/20/2022,"32.55","33.38","32.26","32.46","6,287,668"
10/19/2022,"32.03","32.73","31.84","32.46","4,831,464"
10/18/2022,"33.14","33.91","32.42","32.57","5,297,229"
10/17/2022,"31.35","32.38","31.27","32.25","4,732,929"
10/14/2022,"31.25","31.79","30.50","30.64","5,342,754"
10/13/2022,"30.13","31.58","29.57","30.72","6,118,539"
10/12/2022,"30.53","31.15","29.86","30.89","3,835,600"
10/11/2022,"31.39","31.60","29.89","30.56","5,781,848"
10/10/2022,"32.63","32.75","30.91","31.42","5,661,077"
10/07/2022,"32.83","33.14","32.34","32.68","4,440,234"
10/06/2022,"33.37","34.17","33.19","33.32","4,632,080"
10/05/2022,"32.23","33.72","32.10","33.58","5,017,941"
10/04/2022,"31.35","32.92","31.27","32.88","6,101,243"
10/03/2022,"29.98","30.96","29.20","30.61","4,534,258"
09/30/2022,"29.43","30.47","29.38","29.72","5,431,453"
09/29/2022,"29.97","30.17","29.22","29.99","4,865,749"
09/28/2022,"30.00","30.83","29.92","30.62","4,875,911"
09/27/2022,"30.64","31.22","29.80","29.98","8,721,355"
09/26/2022,"30.56","31.56","29.95","29.99","8,423,092"
09/23/2022,"30.00","30.17","29.45","30.05","8,266,562"
09/22/2022,"32.85","32.90","30.40","30.61","6,009,559"
09/21/2022,"34.54","34.69","32.76","32.78","6,233,477"
09/20/2022,"34.45","34.89","34.13","34.57","5,708,675"
09/19/2022,"32.84","34.45","32.79","34.36","4,712,170"
09/16/2022,"33.77","33.92","32.92","33.36","12,743,870"
09/15/2022,"33.95","35.17","33.88","34.43","5,200,305"
09/14/2022,"33.84","34.07","32.25","34.02","8,569,750"
09/13/2022,"34.58","35.43","33.73","33.87","6,970,681"
09/12/2022,"35.43","36.09","35.25","36.05","5,047,028"
09/09/2022,"34.41","35.19","34.28","35.06","3,959,500"
09/08/2022,"33.03","34.08","32.72","34.06","4,667,639"
09/07/2022,"32.78","33.76","32.68","33.59","4,084,989"
09/06/2022,"33.15","33.47","32.22","32.77","4,716,375"
09/02/2022,"32.75","33.30","32.01","32.86","5,056,164"
09/01/2022,"32.09","32.48","31.47","32.45","5,149,688"
08/31/2022,"33.18","33.65","32.56","32.64","5,150,735"
08/30/2022,"34.11","34.17","32.50","32.96","5,199,667"
08/29/2022,"33.29","34.13","33.04","33.75","4,198,139"
08/26/2022,"35.47","35.55","33.57","33.58","4,291,867"
08/25/2022,"34.96","35.73","34.88","35.22","3,484,480"
08/24/2022,"34.31","35.15","34.06","34.67","3,133,741"
08/23/2022,"33.88","34.68","33.87","34.30","3,458,646"
08/22/2022,"33.81","34.04","33.45","33.77","4,314,126"
08/19/2022,"35.09","35.33","34.54","34.73","3,334,306"
08/18/2022,"35.07","35.68","34.70","35.62","2,997,820"
08/17/2022,"35.43","35.65","34.97","35.01","5,428,158"
08/16/2022,"35.60","36.34","35.44","36.17","4,311,612"
08/15/2022,"35.35","35.86","35.27","35.54","3,363,102"
08/12/2022,"35.07","35.64","34.80","35.60","3,447,399"
08/11/2022,"35.15","35.64","34.73","34.91","4,141,457"
08/10/2022,"34.96","35.34","33.85","34.48","5,235,900"
08/09/2022,"34.13","34.20","33.50","33.92","4,273,950"
08/08/2022,"35.05","35.81","34.45","34.50","4,489,666"
08/05/2022,"35.00","35.61","34.58","34.71","4,510,913"
08/04/2022,"35.64","36.12","35.03","35.45","8,217,330"
08/03/2022,"33.30","34.66","33.30","34.20","9,652,287"
08/02/2022,"32.60","33.33","32.40","33.06","3,801,412"
08/01/2022,"32.52","33.07","31.96","32.84","4,307,359"
07/29/2022,"32.43","32.80","31.76","32.73","3,787,441"
07/28/2022,"31.34","32.67","31.01","32.61","4,246,620"
07/27/2022,"30.46","31.61","30.46","31.41","3,461,063"
07/26/2022,"30.59","30.59","29.81","29.93","3,487,208"
07/25/2022,"30.98","31.23","30.39","30.78","3,495,868"
07/22/2022,"31.63","31.72","30.78","30.94","4,030,059"
07/21/2022,"31.21","31.47","30.62","31.44","3,390,913"
07/20/2022,"30.51","31.56","30.30","31.29","4,000,571"
07/19/2022,"30.10","30.75","30.06","30.46","4,213,287"
07/18/2022,"29.64","30.41","29.38","29.51","2,729,201"
07/15/2022,"28.90","29.42","28.43","29.23","3,601,619"
07/14/2022,"28.43","28.84","28.06","28.43","4,147,320"
07/13/2022,"28.13","29.15","27.79","29.04","3,503,509"
07/12/2022,"28.31","29.41","28.31","28.91","3,925,584"
07/11/2022,"28.63","28.96","28.06","28.40","4,548,250"
07/08/2022,"29.61","29.95","29.07","29.34","3,954,253"
07/07/2022,"29.82","30.46","29.48","29.75","6,597,460"
07/06/2022,"30.24","30.90","29.34","29.54","4,558,541"
07/05/2022,"29.10","30.39","28.75","30.36","5,673,103"
07/01/2022,"28.82","30.01","28.82","30.00","5,535,078"
06/30/2022,"28.74","29.52","28.09","28.95","7,238,784"
06/29/2022,"29.57","29.65","28.81","29.17","5,530,314"
06/28/2022,"30.96","31.83","29.82","29.88","7,552,683"
06/27/2022,"30.26","30.45","29.68","30.03","5,100,435"
06/24/2022,"27.55","30.25","27.44","30.24","10,064,270"
06/23/2022,"27.42","27.62","26.41","27.17","6,734,188"
06/22/2022,"27.13","27.99","27.13","27.33","5,425,610"
06/21/2022,"28.50","28.58","27.62","27.67","6,254,051"
06/17/2022,"27.36","28.29","26.69","27.95","14,233,850"
06/16/2022,"29.15","29.21","27.20","27.39","8,864,140"
06/15/2022,"29.85","30.62","29.52","30.06","6,764,439"
06/14/2022,"28.93","29.70","28.53","29.40","8,674,594"
06/13/2022,"30.48","30.73","28.40","28.63","9,943,591"
