date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"January 3, 2022","4,796.56",163.91,154.48,17.66,45.48,38.85,0.003855056570129810000000000,-0.007027321742291130000000000,-0.009426098108368060000000000,0.009719839908519250000000000,0.009769094138543470000000000,0.021830615465544400000000000
"January 4, 2022","4,793.54",168.01,155.96,17.91,45.39,38.66,0.003223011464712130000000000,0.017810625795117200000000000,0.000064123116383580200000000,0.024013722126929800000000000,0.007770870337477830000000000,0.016833245660178700000000000
"January 5, 2022","4,700.58",164.37,151.8,17.38,43.04,36.97,-0.016232257740459800000000000,-0.004240625189313560000000000,-0.026611093299134200000000000,-0.006289308176100600000000000,-0.044404973357016000000000000,-0.027617043661231000000000000
"January 6, 2022","4,696.05",165.22,152.18,17.35,44.32,37.83,-0.017180325398586100000000000,0.000908705397710097000000000,-0.024174414876562900000000000,-0.008004574042309720000000000,-0.015985790408525700000000000,-0.004997369805365720000000000
"January 7, 2022","4,677.03",166.66,152,18.21,44.53,37.9,-0.021160953843964500000000000,0.009632277215726680000000000,-0.025328630971465100000000000,0.041166380789022400000000000,-0.011323268206039000000000000,-0.003156233561283650000000000
"January 10, 2022","4,670.29",162.05,148.61,17.75,43.62,36.43,-0.022571544575922900000000000,-0.018295268673895800000000000,-0.047066367425456700000000000,0.014865637507147000000000000,-0.031527531083481400000000000,-0.041820094687006900000000000
"January 11, 2022","4,713.07",165.2,152.5,18.08,44.95,38.85,-0.013618269870703000000000000,0.000787544678015360000000000,-0.022122475152292300000000000,0.033733562035448800000000000,-0.001998223801065640000000000,0.021830615465544400000000000
"January 12, 2022","4,726.35",164.86,150,17.93,44.8,38.95,-0.010838945698535400000000000,-0.001272187556793960000000000,-0.038153254248156400000000000,0.025157232704402600000000000,-0.005328596802841960000000000,0.024460810099947400000000000
"January 13, 2022","4,659.03",164.51,149.9,18.07,44.25,37.66,-0.024928110101420300000000000,-0.003392500151450910000000000,-0.038794485411990900000000000,0.033161806746712500000000000,-0.017539964476021300000000000,-0.009468700683850780000000000
"January 14, 2022","4,662.85",162.8,147.98,17.94,44.47,42.99,-0.024128635829004600000000000,-0.013751741685345500000000000,-0.051106123757614600000000000,0.025728987993139100000000000,-0.012655417406749600000000000,0.130720673329826000000000000
"January 18, 2022","4,577.11",159.51,144.52,17.7,43.83,43.1,-0.042072856802019300000000000,-0.033682680075119700000000000,-0.073292722026290300000000000,0.012006861063464900000000000,-0.026865008880994700000000000,0.133613887427670000000000000
"January 19, 2022","4,532.76",154.2,142.21,17.35,42.21,43.92,-0.051354711247472900000000000,-0.065850851154055900000000000,-0.088105161910868800000000000,-0.008004574042309720000000000,-0.062833037300177600000000000,0.155181483429774000000000000
"January 20, 2022","4,482.73",156.7,142.24,17.29,41.55,43.61,-0.061825312778612800000000000,-0.050705761192221500000000000,-0.087912792561718400000000000,-0.011435105774728400000000000,-0.077486678507992900000000000,0.147027880063125000000000000
"January 21, 2022","4,397.94",156.99,142.26,17.04,40.96,43.75,-0.079570711615817200000000000,-0.048948930756648600000000000,-0.087784546328951600000000000,-0.025728987993138900000000000,-0.090586145648312600000000000,0.150710152551289000000000000
"January 24, 2022","4,410.13",155.74,140.48,17,41.89,44.89,-0.077019509683684500000000000,-0.056521475737565800000000000,-0.099198461045206800000000000,-0.028016009148084500000000000,-0.069937833037300200000000000,0.180694371383482000000000000
"January 25, 2022","4,356.45",157.03,142.39,17.04,41.98,44.87,-0.088254006789252800000000000,-0.048706609317259300000000000,-0.086950945815966700000000000,-0.025728987993138900000000000,-0.067939609236234500000000000,0.180168332456602000000000000
"January 26, 2022","4,349.93",158.73,144.82,17.05,41.68,44.12,-0.089618554500286700000000000,-0.038407948143212000000000000,-0.071369028534786800000000000,-0.025157232704402400000000000,-0.074600355239786900000000000,0.160441872698580000000000000
"January 27, 2022","4,326.51",153.71,137.25,16.59,40.62,42.08,-0.094520043364154300000000000,-0.068819288786575300000000000,-0.119910227637063000000000000,-0.051457975986277800000000000,-0.098134991119005400000000000,0.106785902156759000000000000
"January 28, 2022","4,431.85",159.38,143.39,16.78,41.63,43.11,-0.072473807799687700000000000,-0.034470224753135000000000000,-0.080538634177621100000000000,-0.040594625500285700000000000,-0.075710479573712200000000000,0.133876906891110000000000000
"January 31, 2022","4,515.55",161.12,145.11,17.34,42.72,43.8,-0.054956531202518200000000000,-0.023929242139698200000000000,-0.069509458159666400000000000,-0.008576329331046230000000000,-0.051509769094138500000000000,0.152025249868490000000000000
"February 1, 2022","4,546.54",163.02,145.72,17.37,44.16,44.65,-0.048470743845931800000000000,-0.012418973768704100000000000,-0.065597948060275700000000000,-0.006861063464836900000000000,-0.019538188277087100000000000,0.174381904260915000000000000
"February 2, 2022","4,589.38",160.87,144.59,17.18,43.64,44.75,-0.039504911953186800000000000,-0.025443751135881700000000000,-0.072843860211606200000000000,-0.017724413950829000000000000,-0.031083481349911200000000000,0.177012098895318000000000000
"February 3, 2022","4,477.44",162.01,144.15,17.08,42.98,43.91,-0.062932438145387300000000000,-0.018537590113285300000000000,-0.075665277332478300000000000,-0.023441966838193300000000000,-0.045737122557726500000000000,0.154918463966333000000000000
"February 4, 2022","4,500.53",162.74,145.5,17.46,44.54,44.2,-0.058100013812906400000000000,-0.014115223844429500000000000,-0.067008656620711700000000000,-0.001715265866209120000000000,-0.011101243339254000000000000,0.162546028406102000000000000
